name,degree,specialty,hospital,desc
Bác sĩ Philippe Macaire,Giáo sư,Gây mê - điều trị đau,Khoa Gây mê giảm đau - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"Giáo sư, Bác sĩ Philippe Macaire đã cống hiến hơn 30 năm trong lĩnh vực Gây mê - điều trị đau. Bác sĩ Philippe Macaire nhận danh hiệu Giáo sư. Ông đã dành cả cuộc... Xem thêm"
Bác sĩ Reinel Martin Alvarez Plasencia,Thạc sĩ,Tim mạch,Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"Thạc sĩ, Bác sĩ Reinel Martin Alvarez Plasencia đã có 23 năm làm việc trong lĩnh vực Nội tim mạch. Bác sĩ được nhận bằng thạc sĩ cấp cứu y tế về chăm sóc sức... Xem thêm"
Bác sĩ Nguyễn Thanh Liêm,Giáo sư,Nhi,Khoa Y học tái tạo & Trị liệu tế bào - Bệnh viện Đa khoa Quốc tế Vinmec Times City,GS. TS. Nguyễn Thanh Liêm có hơn 50 năm kinh nghiệm trong lĩnh vực Ngọai Nhi và là người tiên phong đưa các liệu pháp trong lĩnh vực Y học tái tạo và trị liệu... Xem thêm
Bác sĩ Võ Thành Nhân,Giáo sư,Tim mạch,Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park,"GS. TS.BS Võ Thành Nhân có 40 năm kinh nghiệm giảng dạy trong lĩnh vực Tim mạch tại Đại học Y dược TP HCM, Bệnh viện Chợ Rẫy. GS Nhân đã tu nghiệp dài hạn... Xem thêm"
Bác sĩ Phạm Nhật An,Giáo sư,Nhi,Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"GS.TS.BS Phạm Nhật An có 45 năm kinh nghiệm trong lĩnh vực Nhi khoa. Năm 2016, BS Nhật An được phong hàm Giáo sư y học. Ông đã tham gia các khoá học chuyên sâu... Xem thêm"
Dược sĩ Phan Quỳnh Lan,Tiến sĩ,Dược,Khoa Dược - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"Tiến sĩ, Dược sĩ Phan Quỳnh Lan có hơn 25 năm kinh nghiệm trong lĩnh vực Dược. DS Phan Quỳnh Lan đã hoàn thành các khóa đào tạo chuyên môn tại Đại học Dược Hà... Xem thêm"
Bác sĩ Nguyễn Thị Tân Sinh,Bác sĩ cao cấp,Phụ khoa,Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"Bác sĩ Cao cấp Nguyễn Thị Tân Sinh được đào tạo bài bản ở trong nước và nhiều trung tâm Sản phụ khoa lớn trong nước và thế giới (Bệnh viện Phụ sản Trung ương,... Xem thêm"
Bác sĩ Yi Hyeon Gyu,Phó Giáo sư,Ung bướu-Xạ trị,Khoa Ung bướu và Huyết học - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"22 năm kinh nghiệm làm việc trong lĩnh vực Ung bướu - Huyết học. Không chỉ từng đảm nhiệm vai trò bác sĩ, ông còn là giảng viên của nhiều trường đại học Y danh... Xem thêm"
Bác sĩ Quách Thanh Dung,Thạc sĩ,Ung bướu-Xạ trị,Khoa Ung bướu và Huyết học - Bệnh viện Đa khoa Quốc tế Vinmec Times City,"Bác sĩ Dung có 11 năm kinh nghiệm trong lĩnh vực Ung bướu. Năm 2018, bác sĩ Dung nhận bằng Thạc sĩ Chuyên ngành ung bướu tại Đại học Y Hà Nội. Bên cạnh đó,... Xem thêm"
Bác sĩ Tôn Thất Trí Dũng,Tiến sĩ,Nội Thần kinh,Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng,Tiến sĩ. Bác sĩ Tôn Thất Trí Dũng đã có trên 20 năm kinh nghiệm trong chuyên ngành thần kinh. Bác sĩ Dũng nhận học vị tiến sĩ tại Đại học Y dược Huế và... Xem thêm
